"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"验证 POST 请求的响应状态码和响应数据","98","验证 POST 请求","tests","Fri Aug 08 16:09:35 GMT 2025","passed","Fri Aug 08 16:09:35 GMT 2025","TestPytestAllureDemo","test_demo_allure","",""
"","58","test_jane","tests","Fri Aug 08 16:09:36 GMT 2025","passed","Fri Aug 08 16:09:36 GMT 2025","TestJane","test_jane","",""
"验证 get 请求的响应状态码和响应数据","62","验证 get 请求","tests","Fri Aug 08 16:09:35 GMT 2025","passed","Fri Aug 08 16:09:35 GMT 2025","TestPytestAllureDemo","test_demo_allure","",""
"","193","test_post_demo","tests","Fri Aug 08 16:09:35 GMT 2025","passed","Fri Aug 08 16:09:35 GMT 2025","TestPytestDemo","test_demo","",""
"","167","test_post_demo","tests","Fri Aug 08 16:09:36 GMT 2025","passed","Fri Aug 08 16:09:36 GMT 2025","TestPytestDemo","test_demo_data_driving","",""
"","436","test_get_demo","tests","Fri Aug 08 16:09:35 GMT 2025","passed","Fri Aug 08 16:09:35 GMT 2025","TestPytestDemo","test_demo","",""
"","105","test_post_demo_multi_env","tests","Fri Aug 08 16:09:36 GMT 2025","passed","Fri Aug 08 16:09:36 GMT 2025","TestPytestMultiEnvDemo","test_demo_multi_environment","",""
"","56","test_get_demo_multi_env","tests","Fri Aug 08 16:09:36 GMT 2025","passed","Fri Aug 08 16:09:36 GMT 2025","TestPytestMultiEnvDemo","test_demo_multi_environment","",""
"","374","test_get_demo","tests","Fri Aug 08 16:09:35 GMT 2025","passed","Fri Aug 08 16:09:36 GMT 2025","TestPytestDemo","test_demo_data_driving","",""
