"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"验证 get 请求的响应状态码和响应数据","1015","验证 get 请求","tests","Fri Aug 08 23:51:28 CST 2025","passed","Fri Aug 08 23:51:29 CST 2025","TestPytestAllureDemo","test_demo_allure","",""
"验证 POST 请求的响应状态码和响应数据","961","验证 POST 请求","tests","Fri Aug 08 23:51:29 CST 2025","passed","Fri Aug 08 23:51:30 CST 2025","TestPytestAllureDemo","test_demo_allure","",""
"","1173","test_post_demo","tests","Fri Aug 08 23:51:32 CST 2025","passed","Fri Aug 08 23:51:33 CST 2025","TestPytestDemo","test_demo_data_driving","",""
"","807","test_get_demo_multi_env","tests","Fri Aug 08 23:51:33 CST 2025","passed","Fri Aug 08 23:51:34 CST 2025","TestPytestMultiEnvDemo","test_demo_multi_environment","",""
"","2357","test_post_demo_multi_env","tests","Fri Aug 08 23:51:34 CST 2025","passed","Fri Aug 08 23:51:37 CST 2025","TestPytestMultiEnvDemo","test_demo_multi_environment","",""
"","611","test_jane","tests","Fri Aug 08 23:51:37 CST 2025","passed","Fri Aug 08 23:51:37 CST 2025","TestJane","test_jane","",""
"","1232","test_post_demo","tests","Fri Aug 08 23:51:27 CST 2025","passed","Fri Aug 08 23:51:28 CST 2025","TestPytestDemo","test_demo","",""
"","1827","test_get_demo","tests","Fri Aug 08 23:51:25 CST 2025","passed","Fri Aug 08 23:51:27 CST 2025","TestPytestDemo","test_demo","",""
"","2341","test_get_demo","tests","Fri Aug 08 23:51:30 CST 2025","passed","Fri Aug 08 23:51:32 CST 2025","TestPytestDemo","test_demo_data_driving","",""
