"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"验证 POST 请求的响应状态码和响应数据","86","验证 POST 请求","tests","Thu Aug 14 10:36:34 UTC 2025","passed","Thu Aug 14 10:36:34 UTC 2025","TestPytestAllureDemo","test_demo_allure","",""
"验证 get 请求的响应状态码和响应数据","56","验证 get 请求","tests","Thu Aug 14 10:36:34 UTC 2025","passed","Thu Aug 14 10:36:34 UTC 2025","TestPytestAllureDemo","test_demo_allure","",""
"","160","test_post_demo","tests","Thu Aug 14 10:36:34 UTC 2025","passed","Thu Aug 14 10:36:34 UTC 2025","TestPytestDemo","test_demo_data_driving","",""
"","95","test_post_demo","tests","Thu Aug 14 10:36:33 UTC 2025","passed","Thu Aug 14 10:36:34 UTC 2025","TestPytestDemo","test_demo","",""
"","59","test_get_demo_multi_env","tests","Thu Aug 14 10:36:34 UTC 2025","passed","Thu Aug 14 10:36:34 UTC 2025","TestPytestMultiEnvDemo","test_demo_multi_environment","",""
"","178","test_post_demo_multi_env","tests","Thu Aug 14 10:36:34 UTC 2025","passed","Thu Aug 14 10:36:34 UTC 2025","TestPytestMultiEnvDemo","test_demo_multi_environment","",""
"","95","test_get_demo","tests","Thu Aug 14 10:36:33 UTC 2025","passed","Thu Aug 14 10:36:33 UTC 2025","TestPytestDemo","test_demo","",""
"","61","test_jane","tests","Thu Aug 14 10:36:34 UTC 2025","passed","Thu Aug 14 10:36:34 UTC 2025","TestJane","test_jane","",""
"","55","test_get_demo","tests","Thu Aug 14 10:36:34 UTC 2025","passed","Thu Aug 14 10:36:34 UTC 2025","TestPytestDemo","test_demo_data_driving","",""
