"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","21","test_get_demo","tests","Wed Aug 13 13:58:40 UTC 2025","passed","Wed Aug 13 13:58:40 UTC 2025","TestPytestDemo","test_demo_data_driving","",""
"验证 get 请求的响应状态码和响应数据","16","验证 get 请求","tests","Wed Aug 13 13:58:40 UTC 2025","passed","Wed Aug 13 13:58:40 UTC 2025","TestPytestAllureDemo","test_demo_allure","",""
"","64","test_get_demo","tests","Wed Aug 13 13:58:39 UTC 2025","passed","Wed Aug 13 13:58:39 UTC 2025","TestPytestDemo","test_demo","",""
"","29","test_jane","tests","Wed Aug 13 13:58:40 UTC 2025","passed","Wed Aug 13 13:58:40 UTC 2025","TestJane","test_jane","",""
"","231","test_post_demo","tests","Wed Aug 13 13:58:40 UTC 2025","passed","Wed Aug 13 13:58:40 UTC 2025","TestPytestDemo","test_demo_data_driving","",""
"验证 POST 请求的响应状态码和响应数据","78","验证 POST 请求","tests","Wed Aug 13 13:58:40 UTC 2025","passed","Wed Aug 13 13:58:40 UTC 2025","TestPytestAllureDemo","test_demo_allure","",""
"","14","test_get_demo_multi_env","tests","Wed Aug 13 13:58:40 UTC 2025","passed","Wed Aug 13 13:58:40 UTC 2025","TestPytestMultiEnvDemo","test_demo_multi_environment","",""
"","226","test_post_demo","tests","Wed Aug 13 13:58:39 UTC 2025","passed","Wed Aug 13 13:58:40 UTC 2025","TestPytestDemo","test_demo","",""
"","247","test_post_demo_multi_env","tests","Wed Aug 13 13:58:40 UTC 2025","passed","Wed Aug 13 13:58:40 UTC 2025","TestPytestMultiEnvDemo","test_demo_multi_environment","",""
