"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","118","test_post_demo_multi_env","tests","Wed Aug 13 14:07:52 UTC 2025","passed","Wed Aug 13 14:07:52 UTC 2025","TestPytestMultiEnvDemo","test_demo_multi_environment","",""
"验证 POST 请求的响应状态码和响应数据","63","验证 POST 请求","tests","Wed Aug 13 14:07:51 UTC 2025","passed","Wed Aug 13 14:07:51 UTC 2025","TestPytestAllureDemo","test_demo_allure","",""
"","26","test_jane","tests","Wed Aug 13 14:07:52 UTC 2025","passed","Wed Aug 13 14:07:52 UTC 2025","TestJane","test_jane","",""
"","19","test_get_demo","tests","Wed Aug 13 14:07:51 UTC 2025","passed","Wed Aug 13 14:07:51 UTC 2025","TestPytestDemo","test_demo_data_driving","",""
"","52","test_get_demo","tests","Wed Aug 13 14:07:51 UTC 2025","passed","Wed Aug 13 14:07:51 UTC 2025","TestPytestDemo","test_demo","",""
"","35","test_post_demo","tests","Wed Aug 13 14:07:51 UTC 2025","passed","Wed Aug 13 14:07:51 UTC 2025","TestPytestDemo","test_demo","",""
"","23","test_post_demo","tests","Wed Aug 13 14:07:51 UTC 2025","passed","Wed Aug 13 14:07:51 UTC 2025","TestPytestDemo","test_demo_data_driving","",""
"验证 get 请求的响应状态码和响应数据","33","验证 get 请求","tests","Wed Aug 13 14:07:51 UTC 2025","passed","Wed Aug 13 14:07:51 UTC 2025","TestPytestAllureDemo","test_demo_allure","",""
"","26","test_get_demo_multi_env","tests","Wed Aug 13 14:07:51 UTC 2025","passed","Wed Aug 13 14:07:52 UTC 2025","TestPytestMultiEnvDemo","test_demo_multi_environment","",""
