"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","57","test_get_demo","tests","Sat Aug 09 09:09:24 GMT 2025","passed","Sat Aug 09 09:09:24 GMT 2025","TestPytestDemo","test_demo_data_driving","",""
"","133","test_get_demo","tests","Sat Aug 09 09:09:24 GMT 2025","passed","Sat Aug 09 09:09:24 GMT 2025","TestPytestDemo","test_demo","",""
"","164","test_post_demo_multi_env","tests","Sat Aug 09 09:09:25 GMT 2025","passed","Sat Aug 09 09:09:25 GMT 2025","TestPytestMultiEnvDemo","test_demo_multi_environment","",""
"验证 get 请求的响应状态码和响应数据","62","验证 get 请求","tests","Sat Aug 09 09:09:24 GMT 2025","passed","Sat Aug 09 09:09:24 GMT 2025","TestPytestAllureDemo","test_demo_allure","",""
"","59","test_get_demo_multi_env","tests","Sat Aug 09 09:09:24 GMT 2025","passed","Sat Aug 09 09:09:25 GMT 2025","TestPytestMultiEnvDemo","test_demo_multi_environment","",""
"","181","test_post_demo","tests","Sat Aug 09 09:09:24 GMT 2025","passed","Sat Aug 09 09:09:24 GMT 2025","TestPytestDemo","test_demo","",""
"","95","test_post_demo","tests","Sat Aug 09 09:09:24 GMT 2025","passed","Sat Aug 09 09:09:24 GMT 2025","TestPytestDemo","test_demo_data_driving","",""
"验证 POST 请求的响应状态码和响应数据","165","验证 POST 请求","tests","Sat Aug 09 09:09:24 GMT 2025","passed","Sat Aug 09 09:09:24 GMT 2025","TestPytestAllureDemo","test_demo_allure","",""
"","65","test_jane","tests","Sat Aug 09 09:09:25 GMT 2025","passed","Sat Aug 09 09:09:25 GMT 2025","TestJane","test_jane","",""
